id,code,name,is_active
br_1768096176368_mzof40,BK1002,PATTAYA ROYAL GARDEN,1
br_1768096176384_ahzmqe,BK1012,THONG LOR,1
br_1768096176389_6xyv3h,BK1016,JUNGCEYLON PHUKET,1
br_1768096176393_hypupx,BK1021,NANA SQUARE,1
br_1768096176396_33fzyy,BK1026,BAAN CHART,1
br_1768096176399_ymqbi9,BK1028,THAPAE CHIANGMAI,1
br_1768096176402_tg6xjv,BK1029,MOTORWAY OUTBOUND,1
br_1768096176406_cg91py,BK1034,MBK 2,1
br_1768096176410_5u2yep,BK1035,MOTORWAY INBOUND,1
br_1768096176412_449umc,BK1037,BANGCHAK RAMINTRA KM 6.5 (DT),1
br_1768096176415_0ykiyz,BK1039,REST AREA PRACHACHUEN,1
br_1768096176418_muzvji,BK1040,GRAND DIAMOND,1
br_1768096176421_7obc0f,BK1041,BANGCHAK RANGSIT OB (DT),1
br_1768096176424_5oj5im,BK1044,RIVERSIDE PLAZA,1
br_1768096176426_uvc688,BK1045,BANGCHAK WANGNOI OB (DT),1
br_1768096176429_mqkzer,BK1047,THE BRIGHT RAMA 2,1
br_1768096176433_4xhjwp,BK1048,BANGCHAK PATTANAKARN 27 (DT),1
br_1768096176437_dudmo4,BK1050,THE STREET RATCHADA,1
br_1768096176441_dnx6hb,BK1053,SHELL CHANGWATTANA OB (DT),1
br_1768096176444_6vzjj3,BK1054,CALTEX PRACHANUKUN (DT),1
br_1768096176446_z4ykcx,BK1055,BANGCHAK SOUTH PATTAYA IB (DT),1
br_1768096176448_yus3sp,BK1056,ESSO RAMA 2 KM 35 IB (DT),1
br_1768096176451_e6rsaj,BK1057,PTT BANGNA EXPRESSWAY OB (DT),1
br_1768096176454_sv6u34,BK1058,SHELL CHACHENGSAO (DT),1
br_1768096176457_gfjuuz,BK1061,SHELL KANCHANAPISEK KM.28 (DT),1
br_1768096176459_ywmri8,BK1063,SHELL MONTFORT CHIANGMAI (DT),1
br_1768096176462_tmpybv,BK1065,BANGCHAK KANCHANAPISEK (DT),1
br_1768096176466_196720,BK1066,PATTAYA KLANG,1
br_1768096176469_mpwzo2,BK1067,IMPACT MUANGTHONG,1
