id,code,name,unit,is_active,units,category
it_1768655076955_dhkpvq,1000033849,BACON-PORK COTTAGE TNT-1KG/BAG-10BAG/CASE-BK-R,,1,"[""BAG / CASE""]",General
it_1768655076961_0irroc,1000011836,BEEF-ANGUS XT PATTY-BK-5.5 OZ/PC-96PC/CASE-BK-R,,1,"[""PC / CASE""]",General
it_1768655076965_g404n6,1000036622,BEEF-AUS PATTY 4.0 OZ (113G)-BK-144PC/CASE-BK-R,,1,"[""PC / CASE""]",General
it_1768655076969_8tspso,1000022205,BEEF-AUS PATTY 4INCH-BK-288PC/CASE-BK-R,,1,"[""PC / CASE""]",General
it_1768655076973_npoimm,1000016736,PORK-BALL-BK-30G/BAG-60BAG/CASE-BK-R,,1,"[""BAG / CASE""]",General
it_1768655076976_hy7wza,1000012618,"PORK-PATTY 4"" TNT-BETAGRO-240PC/CASE-BK-R",,1,"[""PC / CASE""]",General
it_1768655076980_2wr29r,1000020101,BUN-BURGER 4 INCH-55G/PC-15PC/PACK-BK-R,,1,"[""PACK""]",General
it_1768655076984_0rh4uj,1000013511,BUN-BURGER 5 INCH-85G/PC-8PC/PACK-BK-R,,1,"[""PACK""]",General
it_1768655076988_q6isug,1000021552,BUN-CORN DUST 4 INCH-60G/PC-15PC/PACK-BK-R,,1,"[""PACK""]",General
it_1768655076992_28im8c,1000013190,BUN-CRIOSSANT-65G/PC-6PC/PACK-BK-R,,1,"[""PACK""]",General
it_1768655076996_an0woe,1000018000,BUN-HOT DOG 7 INC (CS)-75G/PC-32PC/CASE-BK-R,,1,"[""PACK""]",General
it_1768655076999_bd7qrz,1000010595,BUN-HOTDOG 7 INCH-75G/PC-8PC/PACK-BK-R,,1,"[""PACK""]",General
it_1768655077003_gnytob,1000018240,BUN-PARMESAN BURGER FROZEN-50G/PC-24PC/CASE-BK-R,,1,"[""PACK""]",General
it_1768655077006_7cqtss,1000038711,DANISH-BURGER BUN-60G/PC-24PC/CASE-BK-R,,1,"[""PACK / CASE""]",General
it_1768655077009_848n9s,1000034016,"FLATBREAD-TORTILLA 6""-30G/PC-12PC/PACK-BK-R",,1,"[""PACK / CASE""]",General
it_1768655077013_dl1fq8,1000021165,CHICKEN-BLK SALTED-1KG/BAG-BK-R,,1,"[""BAG / CASE""]",General
it_1768655077017_sx1mua,1000020254,CHICKEN-PATTY CRISPY 60G-BK-19-21PC/BAG-14BAG/CASE-BK-R,,1,"[""BAG / CASE""]",General
it_1768655077021_plu53h,1000011604,CHICKEN-PATTY ROYALE-BK-1.32KG/BAG-10BAG/CASE-BK-R,,1,"[""BAG / CASE""]",General
it_1768655077024_efgyqy,1000016632,CHICKEN-PATTY SPICY GARLIC-85G/PC-6KG/CASE-BK-R,,1,"[""BAG / CASE""]",General
it_1768655077028_1mnmb6,1000015187,CHICKEN-TEMPURA NUGGETS-BKP-2.268KG/BAG-8BAG/CASE-BK-R,,1,"[""BAG / CASE""]",General
it_1768655077031_tqyzf2,1000011891,CHICKEN-THIN COATING CRISPY FRIED CUT10-BK-5PC/BAG-16BAG/CS-BK-R,,1,"[""BAG / CASE""]",General
it_1768655077035_k8us21,1000038842,FISH-BREADED POLLOCK FILLET 150G/PC-5PC/BAG-10BG/CASE-BK-R,,1,"[""BAG / CASE""]",General
it_1768655077039_e6uq68,1000014159,FISH-POLLOCK PATTY 60G-BK-40PC/BAG-5BAG/CASE-BK-R,,1,"[""BAG / CASE""]",General
it_1768655077042_vrhxai,1000034019,BREAD-FRIED DOUGH STICK (PATONGO)-500G/BAG-BK-R,,1,"[""BAG / CASE""]",General
it_1768655077045_4iwbn3,1000038424,"FRENCH FRIES-1/4"" SHOESTRING-2.5KG/BAG-6BAG/CASE-BK-R",,1,"[""BAG / CASE""]",General
it_1768655077048_5tx4fe,1000032205,"FRENCH FRIES-1/4"" SHOESTRINGS-LW-4.5LB/BAG-6BAG/CASE-BK-R",,1,"[""BAG / CASE""]",General
it_1768655077051_3o3oig,1000031187,HASH BROWN-13.6KG/CASE-BK-R,,1,"[""BAG / CASE""]",General
it_1768655077055_tetd2s,1000037051,HASH BROWN-1KG/BAG-10BAG/CASE-CASE-BK-R,,1,"[""BAG / CASE""]",General
it_1768655077058_bfqpkp,1000012613,ONION RING-BREAD PREFORMED-908G/BAG-BK-R,,1,"[""BAG / CASE""]",General
it_1768655077061_x5e7aw,1000013590,SHORTENING-TNT-20KG/CASE-BK-R,,1,"[""CASE""]",General
it_1768655077064_tkewys,1000015487,CHEESE-AME SLICE-FONTERRA-160SLICE/PACK-BK-R,,1,"[""PACK / CASE""]",General
it_1768655077067_nlq7e7,1000015934,CHEESE-SWISS SLICE-BEGA-108SLICE/PACK-SWISS65%-BK-R,,1,"[""PACK""]",General
it_1768655077070_edq2dy,1000020167,EGG-CAGE FREE NO.2-30PC/TRAY-BK-R,,1,"[""PC / TRAY""]",General
it_1768655077075_arnm5o,1000015883,PASTE-BLACK TRUFFLE-270G/BTL-12 BTL/CASE-BK-R,,1,"[""BTL / CASE""]",General
it_1768655077078_gzof66,1000015957,VEG DRIED-SLICE PICKLES(TNT)-NW725G/BAG-12BAG/CASE-BK-R,,1,"[""BAG / CASE""]",General
it_1768655077081_cwoaik,1000013685,VEG PRECUT-LETTUCE-1KG/BAG-BK-R,,1,"[""KG / BAG""]",General
it_1768655077084_2p93sm,1000033676,VEG-ONION PEELED-1KG/BAG-BK-R,,1,"[""KG / BAG""]",General
it_1768655077088_yj62x8,1000021616,VEG-TOMATOES-1KG/BAG-BK-R,,1,"[""KG / BAG""]",General
it_1768655077091_gmh0bf,1000035380,VEG-FROZEN POTATO & CHEESE PATTY 105G-144PC/CASE-BK-R,,1,"[""PC / CASE""]",General
it_1768655077094_gblhwf,1000035381,VEG-FROZEN VEGGIE PATTY 65G-240PC/CASE-BK-R,,1,"[""PC / CASE""]",General
it_1768655077097_oco5zp,1000022385,MUSHROOM SAUTEED-340G/BAG-20BAG/CASE-BK-R,,1,"[""BAG / CASE""]",General
it_1768655077100_kl16ui,1000015551,SAUCE-BBQ (BK LOGO)-20G/CUP-200CUP/CS-BK-R,,1,"[""CUP / CASE""]",General
it_1768655077103_vy8ap3,1000011821,SAUCE-BBQ BULK-1.2KG/BAG-6BAG/CASE-BK-R,,1,"[""BAG / CASE""]",General
it_1768655077107_cve3zi,1000016562,SAUCE-BK MAYONNAISE-1KG/BAG-10BAG/CASE-BK-R,,1,"[""BAG / CASE""]",General
it_1768655077110_yjkyu8,1000011662,SAUCE-CHILI (BK LOGO)-7G/PC-300PC/CS-BK-R,,1,"[""PC / CASE""]",General
it_1768655077113_49z87n,1000015360,SAUCE-CHILI BULK-1.2KG/BAG-10BAG/CASE-BK-R,,1,"[""BAG / CASE""]",General
it_1768655077116_mcgd6o,1000022272,SAUCE-ESAN-500G/BAG-10BAG/CASE-BK-R,,1,"[""BAG / CASE""]",General
it_1768655077119_gixdm2,1000016910,SAUCE-MUSHROOM SAUCE WITH TRUFFLE-20BAG/CASE-BK-R,,1,"[""BAG / CASE""]",General
it_1768655077123_4s7mhf,1000021496,SAUCE-TARTAR-1KG/BAG-12BAG/CASE-BK-R,,1,"[""BAG / CASE""]",General
it_1768655077126_57vlpr,1000010040,SAUCE-TOMATO KETCHUP SACHET-SRITHAI-7G/PC-300PC/CS-BK-R,,1,"[""PC / CASE""]",General
it_1768655077130_hk462t,1000019589,SAUCE-TOMATO KETCHUP-1KG/BAG-10BAG/CASE-BK-R,,1,"[""BAG / CASE""]",General
