id,username,role,content,image_url,created_at
341,chajai003,user,Roster Commit ใส่ 88 ทั้งเดือน,,2026-03-04T22:53:59.644Z
359,chajai003,user,ส่งรูปภาพ,(image attached),2026-03-06T00:04:38.381Z
361,chajai003,user,"วันที่ 4-31 มีนาคม 2569:
Target Sales: 95,000 บาท (28 วัน)
Target TC: 350 TC (28 วัน)",,2026-03-06T15:25:08.958Z
362,chajai003,assistant,"**บันทึกสำเร็จเรียบร้อยครับ!**

- **วันที่ 4-31 มีนาคม 2569**:
  - **Target Sales**: 95,000 บาท (28 วัน)
  - **Target TC**: 350 TC (28 วัน)

หากต้องการปรับเปลี่ยนหรือตรวจสอบข้อมูลเพิ่มเติม แจ้งมาได้เลยครับนาย!",,2026-03-06T15:25:23.700Z
373,chajai003,user,แก้ไข เป้ายอดขาย วันที่ 1 - 3 มีนาคม จาก 10400 เป็น 95000,,2026-03-07T08:30:55.744Z
376,chajai003,user,"[ไฟล์แนบ: Roster Manager Mar 2026  Grand Daimond(Grand Mar 26).csv]
```
Store Name,,S15,,,,,,,,,,Month,,?.?.-25,,,,,,,,,,,,,,,
DATE,,24 Feb 26,,25 Feb 26,,26 Feb 26,,27 Feb 26,,28 Feb 26,,1 Mar 26,,2 Mar 26,,,,,,,,,,,,,,,
,,TUE,,WED,,THU,,FRI,,SAT,,SUN,,MON,,,,,,,,,,,,,,,
Nigth,,7.00-16.00,,OFF,,Com,,Com,,S,,?????? ???????,,O,,,,,,,,,,,,,,,
,,,,,,,,,,15.00-00.00,,,,7.00-16.00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,
Jeew,,O,,O,,O,,S,,S,,OFF,,S,,,,,,,,,,,,,,,
,,7.00-16.00,,7.00-16.00,,7.00-16.00,,10.00-19.00,,10.00-19.00,,,,13.00-22.00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yo,,S,,S,,OFF,,O,,O,,O,,S,,,,,,,,,,,,,,,
,,13.00-22.00,,13.00-22.00,,,,7.00-16.00,,7.00-16.00,,7.00-16.00,,9.00-18.00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ake,,OFF,,C,,C,,C,,C,,C,,C,,,,,,,,,,,,,,,
,,,,22.00-07.00,,22.00-07.00,,22.00-07.00,,22.00-07.00,,22.00-07.00,,22.00-07.00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,,C,,OFF,,S,,S,,S,,S,,S,,,,,,,,,,,,,,,
,,22.00-07.00,,,,15.00-00.00,,15.00-00.00,,15.00-00.00,,13.00-22.00,,15.00-00.00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,,3 Mar 26,,4 Mar 26,,5 Mar 26,,6 Mar 26,,7 Mar 26,,8 Mar 26,,9 Mar 26,,,,,,,,,,,,,,,
,,TUE,,WED,,THU,,FRI,,SAT,,SUN,,MON,,,,,,,,,,,,,,,
Nigth,,O,,OFF,,OFF ???17-22/2,,O,,O,,OFF,,O,,,,,,,,,,,,,,,
,,7.00-16.00,,,,,,7.00-16.00,,00.00-07.00,,,,7.00-16.00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeew,,S,,O,,O,,S,,O,,OFF,,S,,,,,,,,,,,,,,,
,,10.00-19.00,,7.00-16.00,,7.00-16.00,,13.00-22.00,,7.00-16.00,,,,13.00-22.00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yo,,S,,Com,,Com,,Com,,O,,O,,OFF,,,,,,,,,,,,,,,
,,13.00-22.00,,,,,,,,00.00-07.00,,7.00-16.00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ake,,C,,C,,C,,C,,C,,C,,C,,,,,,,,,,,,,,,
,,22.00-07.00,,22.00-07.00,,22.00-07.00,,22.00-07.00,,22.00-07.00,,22.00-07.00,,22.00-07.00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,,S,,S,,S,,OFF,,S,,S,,OFF,, ,,,,,,,,,,,,,
,,16.00-01.00,",,2026-03-08T23:02:05.943Z
383,chajai003,user,"Grand Diamond
Confirm Weekly 10/03/2026 - 16/03/2026
Sale = 627,116
TC = 2,160
TA = 290
COG = 28.00%
Waste = 5,22.26
Unac = 1.03%
SOS = 3.01
GSI = 5
OSAT = 5
Delivery = 4.6
Google review = 4.1
COL MTD = 10.76%

Waste Top 3
1. BK-CR-BEEF - ฿1,667.30
2. BK-CR-Chicken - ฿878.71
3. BK-CR-BUN - ฿710.33

Unaccounted Top 3
1. BEEF-AUS PATTY 4INCH-BK-288PC/CASE-BK-R - ฿3,426.13
2. SAUCE-TOMATO KETCHUP-1KG/BAG-10BAG/CASE-BK-R - ฿1,765.19
3. PACKAGING-HIYW MULTI PURPOSE-900PC/CASE-BK-R - ฿1,717.56",,2026-03-10T00:17:20.902Z
387,chajai003,user,ช่วยสรุปบทสนทนาทั้งหมดที่เราคุยกันมาให้ทีครับนาย,,2026-03-15T05:35:22.016Z
545,chajai003,user,"26/3/2026
💵Daily Sales= 85,419/95,000
MTD Sale= 2,470,000/2,270,654
👨‍👩‍👧‍👦Daily TC = 301
👑 Daily TA = 283

🍽Dinein : 36,916/43.21%
🛍Takeaway : 23,486/27.49%
🛵Delivery : 21,856/25.58%

🛵Grab Food : 17,458/20.43%
🛵Line Man : 3,246/3.80%
🛵 Shopeefood : 159/0.18%
🛵Robin:0%
🛵  GoKOO: 199/0.23%

🏃🏻‍♀️SOS = 205
🏃🏻MTD SOS= 192

🗑WasteDaily : 727.04/0.85%
🗑 WasteMTD : 24,806.31/1.09%

🕰Work Hour = 103

🗓️Grand Diamond 2026📌
Roster Manager,Duty
Phongsathon = 6:00-00:00
Boonyisa = 22:00-07:00
Nuttarika = 10:00-19:00
Washiraphon = 13:00-22:00
Chanon = 15:00-00:00

📄Roster Tomorrow 
07:00-16:00 = เก้ง หมีภู
9:00-18:00= กีต้าร์
11:00-20:00= อาย
13:00-22:00= เจน แทน
16:00-01:00= ใต้ฝุ่น
22:00-07:00 = ซัน เทพ",,2026-03-31T00:50:26.511Z
569,chajai003,user,"[ไฟล์แนบ: เวิร์กชีต Microsoft Excel ใหม่.xlsx (32.4 KB)]
```

--- Sheet: Sheet1 ---
,,Store name : ,Grand Diamond,Grand Diamond,,,,,,,,,,,,,Target Waste 0.75%,,,,,,,,,,,,,จำนวน Duty Team ที่มีอยู่ที่ร้าน ==>>,จำนวน Duty Team ที่มีอยู่ที่ร้าน ==>>,จำนวน Duty Team ที่มีอยู่ที่ร้าน ==>>,จำนวน Duty Team ที่มีอยู่ที่ร้าน ==>>,6,,,PPH ค่าชั่วโมงเฉลี่ยที่จ่ายต่อชั่วโมง ==>>,PPH ค่าชั่วโมงเฉลี่ยที่จ่ายต่อชั่วโมง ==>>,PPH ค่าชั่วโมงเฉลี่ยที่จ่ายต่อชั่วโมง ==>>,PPH ค่าชั่วโมงเฉลี่ยที่จ่ายต่อชั่วโมง ==>>,PPH ค่าชั่วโมงเฉลี่ยที่จ่ายต่อชั่วโมง ==>>,84,,Target TCMH 4.4
Day,Month,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,TC,TC,TC,TC,TC,TC,TC,TC,TC,TA,TA,TA,TA,4,4,4,4,4,4,4,4,4,4,4,4,4,Promotion ,Promotion ,Promotion ,Promotion ,Promotion ,Promotion ,Promotion ,Promotion ,Promotion ,Promotion ,Promotion ,Promotion ,Promotion ,Promotion ,Promotion 
Day,Month,Last Year Sales
(Daily),Last Year Sales
MTD,Target Sales
(Incentive) 
Daily,Target Sales MTD
(Incentive),Forecast Sales
From NBO ,Actual Sales
(Daily),Actual Sales
MTD,Varaince From 
Target,Varaince 
MTD,Sales Delivery (Daily),Sales Delivery MTD,Achive Incentive Target%,Varaince From 
Forecast,%,Comp 
Sales %,Waste Daily (Bath),Waste Daily (%),Last year TC
(Daily),Last year TC
MTD,Target TC
(Daily),Target TC
MTD,Actual TC
(Daily),Actual TC
MTD,Varaince From  Target,Varaince From 
Last year,Comp TC %,Last year TA,Target TA,Actual TA,Variance Target VS Actual,[object Object],Roster
Commit 
From Area,MTD Roster
Working Hours,ชั่วโมงการทำงาน Duty Team 
(ห้ามแก้ไข),Actual 
Hours
(PT+FT),OT
Hours,Summary Hours Total,MTD 
Working Hours,Variance
 Hours,COL(Bath),MTD COL,COL(%),Actual
TCMH,Value Meal Set,MTD
Value
Meal,%Value Meal,UP Size,MTD
UP Size,%UP Size,Add Cheese (จำนวนแผ่น),MTD
Add Cheese,%Add Cheese,Other 
 (New promotion),MTD,%,Other 
(New promotion),MTD,%
[object Object],2026-04-01,91837,[object Object],95000,[object Object],83967,,[object Object],[object Object],[obj",,2026-04-01T20:16:08.529Z
