key,value,updated_at
LINE_TARGET_ID,Cdbbb631a2013c04e3174c9238497f5dd,2026-02-26T22:01:18.052Z
cap_open,2,2026-01-13T10:23:24.785Z
cap_swing,2,2026-01-13T10:23:24.793Z
cap_lunch,2,2026-01-13T10:23:24.796Z
cap_dinner,3,2026-01-13T10:23:24.800Z
cap_close,2,2026-01-13T10:23:24.803Z
cap_late,2,2026-01-13T10:23:24.808Z
lock_time_period,true,2026-01-13T10:23:24.811Z
LINE_LAST_GROUP_ID,Cdbbb631a2013c04e3174c9238497f5dd,2026-03-01T03:05:21.359Z
LINE_LAST_GROUP_TS,2026-03-01T03:05:21.349Z,2026-03-01T03:05:21.392Z
cap_com,99,2026-04-05T19:59:23.689Z
cap_off,99,2026-04-05T19:59:23.722Z
cap_meeting_manager,99,2026-04-05T19:59:23.734Z
cap_meeting_zone,99,2026-04-05T19:59:23.738Z
maintenance_enabled,false,2026-01-16T13:34:23.392Z
maintenance_start_day,2,2026-01-16T13:34:23.397Z
maintenance_start_time,23:00,2026-01-16T13:34:23.402Z
maintenance_end_day,4,2026-01-16T13:34:23.407Z
maintenance_end_time,00:00,2026-01-16T13:34:23.414Z
cap_other,99,2026-04-05T19:59:23.741Z
cap_sick,99,2026-04-05T19:59:23.744Z
EXPORT_API_KEY,c299677c5b5626139481bc7df06779e7adbc49c4,2026-04-10T22:40:09.934Z
field_desc:voidCount,,2026-04-21T20:41:03.471Z
LINE_CHANNEL_TOKEN,2MrLOe/KAuteGd32KyqtTbmkMYmvM3VtQya2tAUkXCMwoXTp65x1E1fLWwT1MKWAGieKZfdyhdAYwSYu7Ip/PiI6kslm8bETuq7ivaJKe/KDpirYeGUXVv3zTUEcBGdrUBGvr3l8b9A3qLPM+mWyigdB04t89/1O/w1cDnyilFU=,2026-02-26T20:47:18.942Z
