id,report_date,report_by,work_shift,daily_target,actual_sales,transaction_count,mtd_target,mtd_actual,mtd_tc,dine_in,dine_in_tc,take_away,take_away_tc,grabfood,lineman,shopee,bkapp,osat,survey_count,void_amount,void_count,add_cheese_count,add_cheese_percent,v_meal_count,v_meal_percent,up_size_count,up_size_percent,waste_raw_daily,waste_raw_daily_percent,waste_meal_daily,waste_meal_daily_percent,waste_raw_mtd,waste_raw_mtd_percent,waste_meal_mtd,waste_meal_mtd_percent,col_percent,labor_hour,tcmh,manager_roster_date,manager_roster_text,staff_roster_text,created_at,updated_at,sos_daily,sos_mtd,labor_cost,actual_hours,ot_hours,ot_mtd,recommend_hours,roster_commit,summary_hours,variance_hours,robin,gokoo,last_year_sales,forecast_sales,last_year_tc,target_tc,target_ta,close_shift_count,cash_deposit,sales_delivery,promotion_other1_qty,promotion_other2_qty,note_daily,note_mtd,note_in_store,note_delivery,note_performance,note_addons,store_id
229,2026-04-16,Ake,full,95000,93791,290,1520000,1411661,4652,34351,89,19417,54,33756,3591,2280,0,5,13,0,0,29,10.00,237,81.72,38,13.10,0,0,0.00,0,18439.91,0,2141.19,0,12.98,119.00,2.44,2026-04-17,"Phongsathon: 07:00-16:00
Nuttarika: Off
Boonyisa: 10:00-19:00
Chanon: 19:00-04:00
Washiraphan: Com","07:00-16:00 | Jane
07:00-16:00 | ,
07:00-16:00 | Meepooh
11:00-20:00 | Tawan
12:00-21:00 | Max
13:00-22:00 | Soup
13:00-22:00 | ,
13:00-22:00 | NeNe
15:00-00:00 | Tan
22:00-07:00 | Gang
22:00-07:00 | ,
22:00-07:00 | Ma
22:00-07:00 | ,
22:00-07:00 | Thep
22:00-07:00 | ,
22:00-07:00 | Leo",2026-04-02T21:48:13.200Z,2026-04-17T18:17:21.711Z,179,176,12175.00,119,0,30.00,112,88,119.00,119.00,0,0,99492,99492,0,0,0,0,0,39627,0,0,,,,,,,BK1040
230,2026-04-19,Chanon,full,95000,80672,276,1805000,1640424,5477,28310,91,18087,72,27260,4270,2109,208,5,13,1474,2,2,0.72,232,84.06,36,13.04,457.99,0,236.91,0,23359.949999999997,0,2706.26,0,13.79,96.00,2.88,2026-04-20,"Phongsathon: Train Product 
Nuttarika: 11:00-20:00
Suppawit: 13:00-22:00
Boonyisa: 10:00-19:00
Chanon: 22:00-07:00
Washiraphan: 13:00-22:00","07:00-16:00 | Typoon , Thep
10:00-19:00 | Nut
12:00-21:00 | Gang
13:00-22:00 | Max , C , Nene
22:00-07:00 | Sun , Mah , Soup",2026-04-02T21:48:13.201Z,2026-04-20T02:18:35.342Z,174,176,11125.00,96,0,31.00,112,88,96.00,8.00,0,259,83304,83304,0,0,0,2,0,0,0,0,,,,,,,BK1040
228,2026-04-18,Chanon ,full,95000,78772,292,1710000,1559752,5201,31768,104,55,11550,23039,8116,3627,672,5,13,178,1,4,1.37,227,77.74,38,13.01,1364.8,0,115.07,0,22901.960000000003,0,2469.35,0,16.79,136.00,2.15,2026-04-19,"Phongsathon: 07:00-16:00
Nuttarika: 10:00-19:00
Suppawit: OFF
Boonyisa: OFF
Chanon: 22:00-07:00
Washiraphan: 16:00-01:00","07:00-16:00 | Meepooh , Jane
10:00-19:00 | Tawan
12:00-21:00 | Moon
13:00-22:00 | Max , Nut Soup
22:00-07:00 | Mah Gang",2026-04-02T21:48:13.200Z,2026-04-19T00:11:00.162Z,142,177,13225.00,136,0,31.00,88,119,136.00,17.00,0,0,71996,71996,0,0,0,4,0,0,0,0,,,,,,,BK1040
225,2026-04-14,Ake,full,95000,105015,321,1330000,1218637,4070,42956,118,21323,77,26204,11746,574,1124,5,13,735,1,14,4.36,184,57.32,62,19.31,1093.04,0,190.28,0,17901.010000000002,0,1944.03,0,10.55,94.00,3.41,2026-04-15,"Phongsathon: 07:00-16:00
Nuttarika: 08:00-17:00
Suppawit: 22:00-07:00
Boonyisa: 13:00-22:00
Chanon: 22:00-07:00
Washiraphan: 10:00-19:00","07:00-16:00 | Jane Meepooh
08:00-17:00 | Peepo
09:00-18:00 | Fahrung
11:00-20:00 | Tawan
12:00-21:00 | Kittipong
13:00-22:00 | Typoon Moon Nanthana Rangorn
15:00-23:00 | Tan
22:00-07:00 | Thep Sun Gang",2026-04-02T21:48:13.195Z,2026-04-17T18:17:21.700Z,165,176,11075.00,94,0,30.00,105,88,94.00,6.00,0,860,98688,98688,0,0,0,3,0,40508,0,0,,,,,,,BK1040
226,2026-04-15,Ake,full,95000,99233,292,1425000,1317870,4362,36718,103,14137,54,35045,10092,1625,1616,5,13,0,0,18,6.16,249,85.27,43,14.73,736.06,0,197.16,0,18439.91,0,2141.19,0,12.07,112.00,2.61,2026-04-16,"Phongsathon: 07:00-16:00
Nuttarika: 10:00-19:00
Suppawit: 22:00-07:00
Boonyisa: 13:00-22:00
Chanon: 19:00-04:00
Washiraphan: OFF","07:00-16:00 | Jane , Meepooh
09:00-18:00 | Fahrung
11:00-20:00 | Tawan
12:00-21:00 | Max , Nut
13:00-22:00 | Soup , NeNe
15:00-00:00 | Typoon , Tan
22:00-07:00 | Gang , Sun , Thep , Leo",2026-04-02T21:48:13.197Z,2026-04-17T18:17:21.706Z,181,188,11975.00,112,0,30.00,112,88,112.00,24.00,0,0,89841,89841,0,0,0,3,0,48378,0,0,,,,,,,BK1040
186,2026-03-27,Ake,full,95000,155151,692,2565000,2240371,7775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,851.03,0,0,0,18296.149999999998,0,1076.61,0,0.00,0.00,0.00,2026-03-25,,,2026-03-30T22:59:35.008Z,2026-03-31T01:01:12.691Z,0,0,6225.00,56,24,111.00,108,88,0.00,-88.00,0,0,2565000,2425805,0,0,224,0,0,0,0,0,,,,,,,BK1040
231,2026-04-20,Chanon,full,95000,75430,282,1900000,1715854,5759,31458,107,9963,64,23331,7207,1480,915,5,13,3093,8,6,2.13,184,65.25,42,14.89,0,0,0.00,0,23359.949999999997,0,2706.26,0,16.67,127.00,2.22,2026-04-21,"Phongsathon: 07:00-16:00
Nuttarika: 13:00-22:00
Boonyisa: 09:00-18:00
Chanon: 22:00-07:00
Washiraphan: 15:00-00:00","07:00-16:00 | Meepoh
07:00-16:00 | ,
07:00-16:00 | Jane
08:00-17:00 | Peepo
09:00-18:00 | Nut
11:00-20:00 | Max
12:00-21:00 | Gang
12:00-21:00 | ,
12:00-21:00 | Soup
13:00-22:00 | Moon
15:00-00:00 | Tan
22:00-07:00 | Leo
22:00-07:00 | ,
22:00-07:00 | Sun",2026-04-02T21:48:13.202Z,2026-04-20T23:40:18.617Z,175,176,12575.00,127,0,31.00,112,88,127.00,39.00,0,0,103882,103882,0,0,0,0,0,0,0,0,,,,,,,BK1040
190,2026-04-01,Ake,full,95000,77945,246,95000,77945,246,34309,100,13860,55,21409,5168,5168,587,5,5,465,1,3,1.22,206,83.74,17,6.91,1325.8300000000002,0,91.91,0,590.5500000000001,0,91.91,0,12.93,74.00,3.32,2026-04-02,"Phongsathon: 07:00-16:00
Nuttarika: 10:00-19:00
Suppawit: OFF
Boonyisa: 13:00-22:00
Chanon: 22:00-07:00
Washiraphan: OFF","07:00-16:00 | Jane
08:00-17:00 | C
11:00-20:00 | Nene
11:00-20:00 | Maxy
13:00-22:00 | Thep
16:00-23:00 | Typoon
22:00-07:00 | Tan
22:00-07:00 | Sun",2026-04-01T17:43:57.649Z,2026-04-17T18:17:21.480Z,3.00,3.00,10075.00,64,10,10.00,110,88,74.00,-14.00,0,0,91837,91837,0,0,0,3,0,32332,0,0,,,,,,,BK1040
242,2026-04-03,Ake,full,95000,81434,294,285000,246110,821,34556.72,127,17055.8,65,22068,3701,1713,1395,5,61,0,0,0,0.00,0,0.00,0,0.00,0,0,0.00,0,1999.5700000000002,0,315.37,0,12.19,72.00,4.08,2026-04-02,,,2026-04-02T21:48:13.212Z,2026-04-17T18:17:21.608Z,167,180,9925.00,72,0,16.50,110,88,72.00,-16.00,0,263,89998,89998,0,0,0,2,0,29140,0,0,,,,,,,BK1040
233,2026-04-21,Chanon,full,95000,86529,318,1995000,1802383,6077,26494,90,18268,81,21940,11478,4850,0,5,13,394,1,10,3.14,206,64.78,36,11.32,296.64,0,223.77,0,23656.59,0,2930.03,0,14.82,128.00,2.48,2026-04-21,"Phongsathon: 07:00-16:00
Nuttarika: OFF
Boonyisa: 08:00-17:00
Chanon: 22:00-07:00
Washiraphan: 15:00-00:00","07:00-16:00 | MeePoh , Jane
08:00-17:00 | Max Nut
11:00-20:00 | Moon
12:00-21:00 | Thep , Ganf
13:00-22:00 | Fah
15:00-00:00 | Tan
22:00-07:00 | Sun , Leo , Flame",2026-04-02T21:48:13.203Z,2026-04-21T20:46:30.907Z,182,178,12825.00,128,0,31.00,105,88,128.00,40.00,476,3.09,85053,85053,0,0,0,4,0,0,0,0,,,,,,,BK1040
67,2026-01-11,Ake,full,110000,97536,312,1150000,1254116,3954,45645,137,20109,67,22072,7882,1304,169,5,25,0,0,4,1.28,228,73.08,16,5.13,3536,0,170.00,0,18180.25,0,1659.56,0,5.74,112.00,2.79,2026-01-11,"Phongsathon: COM
Nuttarika: 22:00-07:00
Boonyisa: 07:00-16:00
Chanon: 13:00-22:00
Washiraphan: 22:00-07:00","07:00-16:00 | หมีพู เอ็ม
10:00-19:00 | กีต้าร์
13:00-22:00 | เก้ง พี่แทน
15:00-00:00 | ดิว ใต้ฝุ่น
22:00-07:00 | ีลีโอ เทพ",2026-01-15T19:54:30.584Z,2026-01-31T23:24:01.406Z,259,287,5600.00,70,3,0,109,88,112.00,16.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,BK1040
70,2026-01-14,Ake,full,110000,99925,307,1370000,1336369,4271,44662,133,16625,61,28932,7527,2176,0,5,25,557,1,9,2.93,249,81.11,26,8.47,1855.5499999999993,0,93.61,0,18351.91,0,1473.76,0,4.75,95.00,3.23,2026-01-15,"Phongsathon: 07:00-16:00
Nuttarika: 22:00-07:00
Boonyisa: OFF
Chanon: 09:00-18:00
Washiraphan: 19:00-04:00","07:00-16:00 | Keng Tan
12:00-21:00 | Thep
15:00-00:00 | Net
22:00-07:00 | Sun Leo",2026-01-15T21:05:47.963Z,2026-01-31T23:24:01.416Z,211,257,4750.00,52,3,0,110,88,95.00,7.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,BK1040
71,2026-01-15,Ake,full,110000,98620,309,3350000,2856285,9176,38072,112,17984,69,16714,5740,1383,578,5,25,1144,3,9,3.41,0,0.00,20,7.58,1977.96,0,119.71,0,59379.17,0,4144.71,0,5.37,106.00,2.49,2026-01-20,"Phongsathon: COM
Nuttarika: 07:00-16:00
Boonyisa: COM
Chanon: 22:00-07:00
Washiraphan: 13:00-22:00","07:00-16:00 | เทพ, แทน
13:00-22:00 | เน็ท
13:00-22:00 | อิงค์ฟ้า,",2026-01-15T21:42:05.939Z,2026-01-31T23:24:01.420Z,304,252,5300.00,55,11,0,112,88,66.00,66.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,BK1040
114,2026-02-06,Ake,full,100000,101474,335,600000,538556,1809,43950,0,21283,0,23427,10527,770,0,0,0,0,0,0,0.00,0,0.00,0,0.00,694,0,0,0,5079.08,0,300.70,0,5.91,80.00,4.19,,,,2026-02-14T19:11:31.084Z,2026-02-27T18:26:33.458Z,171,201,6000.00,78,2,0,112,88,80.00,80.00,0,0,92957,0,326,300,333,0,0,0,0,0,,,,,,,BK1040
