id,target_date,target_sales,created_at,updated_at,target_tc,waste_raw_daily,waste_meal_daily,store_id
124,2026-04-02,95000,2026-04-01T20:13:55.725Z,2026-04-14T19:48:13.908Z,300,0,0,BK1040
1,2025-12-01,130000,2025-12-31T14:43:26.014Z,2025-12-31T21:41:05.075Z,300,0,0,BK1040
63,2026-02-01,100000,2026-02-02T20:11:22.148Z,2026-02-26T22:50:47.705Z,300,0,0,BK1040
73,2026-02-11,100000,2026-02-02T20:11:22.217Z,2026-02-26T22:50:47.736Z,300,0,0,BK1040
74,2026-02-12,100000,2026-02-02T20:11:22.222Z,2026-02-26T22:50:47.740Z,300,0,0,BK1040
75,2026-02-13,100000,2026-02-02T20:11:22.227Z,2026-02-26T22:50:47.743Z,300,0,0,BK1040
76,2026-02-14,100000,2026-02-02T20:11:22.232Z,2026-02-26T22:50:47.746Z,300,0,0,BK1040
77,2026-02-15,100000,2026-02-02T20:11:22.237Z,2026-02-26T22:50:47.748Z,300,0,0,BK1040
78,2026-02-16,100000,2026-02-02T20:11:22.243Z,2026-02-26T22:50:47.751Z,300,0,0,BK1040
2,2025-12-02,130000,2025-12-31T14:43:26.033Z,2025-12-31T21:41:05.090Z,300,0,0,BK1040
3,2025-12-03,130000,2025-12-31T14:43:26.038Z,2025-12-31T21:41:05.096Z,300,0,0,BK1040
4,2025-12-04,130000,2025-12-31T14:43:26.042Z,2025-12-31T21:41:05.099Z,300,0,0,BK1040
5,2025-12-05,130000,2025-12-31T14:43:26.045Z,2025-12-31T21:41:05.102Z,300,0,0,BK1040
6,2025-12-06,130000,2025-12-31T14:43:26.050Z,2025-12-31T21:41:05.106Z,300,0,0,BK1040
7,2025-12-07,130000,2025-12-31T14:43:26.054Z,2025-12-31T21:41:05.109Z,300,0,0,BK1040
8,2025-12-08,130000,2025-12-31T14:43:26.057Z,2025-12-31T21:41:05.112Z,300,0,0,BK1040
79,2026-02-17,100000,2026-02-02T20:11:22.248Z,2026-02-26T22:50:47.753Z,300,0,0,BK1040
9,2025-12-09,130000,2025-12-31T14:43:26.061Z,2025-12-31T21:41:05.117Z,300,0,0,BK1040
10,2025-12-10,130000,2025-12-31T14:43:26.065Z,2025-12-31T21:41:05.120Z,300,0,0,BK1040
11,2025-12-11,130000,2025-12-31T14:43:26.069Z,2025-12-31T21:41:05.123Z,300,0,0,BK1040
12,2025-12-12,130000,2025-12-31T14:43:26.072Z,2025-12-31T21:41:05.125Z,300,0,0,BK1040
13,2025-12-13,130000,2025-12-31T14:43:26.075Z,2025-12-31T21:41:05.128Z,300,0,0,BK1040
14,2025-12-14,130000,2025-12-31T14:43:26.078Z,2025-12-31T21:41:05.131Z,300,0,0,BK1040
15,2025-12-15,130000,2025-12-31T14:43:26.082Z,2025-12-31T21:41:05.134Z,300,0,0,BK1040
123,2026-04-01,95000,2026-04-01T20:13:55.710Z,2026-04-14T19:48:13.903Z,300,0,0,BK1040
104,2026-03-13,95000,2026-02-28T21:15:34.972Z,2026-03-17T17:59:31.727Z,300,0,0,BK1040
105,2026-03-14,95000,2026-02-28T21:15:34.976Z,2026-03-17T17:59:31.730Z,300,0,0,BK1040
106,2026-03-15,95000,2026-02-28T21:15:34.979Z,2026-03-17T17:59:31.733Z,300,0,0,BK1040
107,2026-03-16,95000,2026-02-28T21:15:34.982Z,2026-03-17T17:59:31.736Z,300,0,0,BK1040
108,2026-03-17,95000,2026-02-28T21:15:34.986Z,2026-03-17T17:59:31.739Z,300,0,0,BK1040
109,2026-03-18,95000,2026-02-28T21:15:34.989Z,2026-03-17T17:59:31.741Z,300,0,0,BK1040
110,2026-03-19,95000,2026-02-28T21:15:34.993Z,2026-03-17T17:59:31.744Z,300,0,0,BK1040
16,2025-12-16,130000,2025-12-31T14:43:26.086Z,2025-12-31T21:41:05.136Z,300,0,0,BK1040
17,2025-12-17,130000,2025-12-31T14:43:26.090Z,2025-12-31T21:41:05.141Z,300,0,0,BK1040
18,2025-12-18,130000,2025-12-31T14:43:26.093Z,2025-12-31T21:41:05.143Z,300,0,0,BK1040
19,2025-12-19,130000,2025-12-31T14:43:26.097Z,2025-12-31T21:41:05.146Z,300,0,0,BK1040
20,2025-12-20,130000,2025-12-31T14:43:26.102Z,2025-12-31T21:41:05.149Z,300,0,0,BK1040
21,2025-12-21,130000,2025-12-31T14:43:26.107Z,2025-12-31T21:41:05.152Z,300,0,0,BK1040
111,2026-03-20,95000,2026-02-28T21:15:34.996Z,2026-03-17T17:59:31.746Z,300,0,0,BK1040
112,2026-03-21,95000,2026-02-28T21:15:34.999Z,2026-03-17T17:59:31.749Z,300,0,0,BK1040
113,2026-03-22,95000,2026-02-28T21:15:35.003Z,2026-03-17T17:59:31.752Z,300,0,0,BK1040
114,2026-03-23,95000,2026-02-28T21:15:35.007Z,2026-03-17T17:59:31.755Z,300,0,0,BK1040
115,2026-03-24,95000,2026-02-28T21:15:35.010Z,2026-03-17T17:59:31.758Z,300,0,0,BK1040
116,2026-03-25,95000,2026-02-28T21:15:35.013Z,2026-03-17T17:59:31.761Z,300,0,0,BK1040
117,2026-03-26,95000,2026-02-28T21:15:35.017Z,2026-03-17T17:59:31.764Z,300,0,0,BK1040
118,2026-03-27,95000,2026-02-28T21:15:35.020Z,2026-03-17T17:59:31.766Z,300,0,0,BK1040
119,2026-03-28,95000,2026-02-28T21:15:35.023Z,2026-03-17T17:59:31.769Z,300,0,0,BK1040
120,2026-03-29,95000,2026-02-28T21:15:35.026Z,2026-04-01T19:50:12.113Z,300,0,0,BK1040
121,2026-03-30,95000,2026-02-28T21:15:35.029Z,2026-03-17T17:59:31.775Z,300,0,0,BK1040
122,2026-03-31,95000,2026-02-28T21:15:35.032Z,2026-03-17T17:59:31.777Z,300,0,0,BK1040
22,2025-12-22,130000,2025-12-31T14:43:26.110Z,2025-12-31T21:41:05.155Z,300,0,0,BK1040
23,2025-12-23,130000,2025-12-31T14:43:26.114Z,2025-12-31T21:41:05.158Z,300,0,0,BK1040
