id,category,value,label,sort_order,is_active
18,staff_shift,07:00-16:00,07:00-16:00,0,true
19,staff_shift,09:00-18:00,09:00-18:00,1,true
20,staff_shift,10:00-19:00,10:00-19:00,2,true
21,staff_shift,11:00-20:00,11:00-20:00,3,true
22,staff_shift,12:00-21:00,12:00-21:00,4,true
23,staff_shift,13:00-22:00,13:00-22:00,5,true
24,staff_shift,14:00-23:00,14:00-23:00,6,true
25,staff_shift,15:00-00:00,15:00-00:00,7,true
26,staff_shift,18:00-00:00,18:00-00:00,8,true
27,staff_shift,19:00-04:00,19:00-04:00,9,true
28,staff_shift,21:00-06:00,21:00-06:00,10,true
29,staff_shift,22:00-07:00,22:00-07:00,11,true
30,staff_shift,CUSTOM,กำหนดเอง,12,true
3,manager_shift,10:00-19:00,10:00-19:00,3,true
2,manager_shift,09:00-18:00,09:00-18:00,2,true
31,manager_shift,08:00-17:00,08:00-17:00,1,true
1,manager_shift,07:00-16:00,07:00-16:00,0,true
4,manager_shift,11:00-20:00,11:00-20:00,4,true
6,manager_shift,13:00-22:00,13:00-22:00,6,true
7,manager_shift,14:00-23:00,14:00-23:00,7,true
5,manager_shift,12:00-21:00,12:00-21:00,5,true
8,manager_shift,15:00-00:00,15:00-00:00,8,true
9,manager_shift,16:00-01:00,16:00-01:00,9,true
10,manager_shift,19:00-04:00,19:00-04:00,10,true
11,manager_shift,22:00-07:00,22:00-07:00,11,true
12,manager_shift,OFF,OFF,12,true
13,manager_shift,SICK,SICK,13,true
14,manager_shift,COM,COM,14,true
16,manager_shift,QSNCC,QSNCC,16,true
15,manager_shift,Vacation,Vacation,15,true
17,manager_shift,Training,Training,17,true
