id,recipient_username,type,title,title_th,message,message_th,related_id,is_read,created_at,created_by
31,admin,daily_report,Daily Report Submitted,รายงานประจำวัน 2026-03-22,Chanon Jaimool ส่งรายงานประจำวันที่ 2026-03-22 แล้ว,Chanon Jaimool ส่งรายงานประจำวันที่ 2026-03-22 แล้ว,daily_sales_2026-03-22,0,2026-03-22T22:23:57+07:00,chajai003
2,chajai003,version_update,อัพเดท v2.1.5,อัพเดท v2.1.5,"แก้ไขไอคอน PWA/iOS แสดงไม่ถูกต้อง — เปลี่ยนจาก SVG เป็น PNG (192×192, 512×512) • ใช้ ImageMagick render PNG ก่อน deploy เพื่อหลีกเลี่ยงปัญหา font rendering ใน SVG context","แก้ไขไอคอน PWA/iOS แสดงไม่ถูกต้อง — เปลี่ยนจาก SVG เป็น PNG (192×192, 512×512) • ใช้ ImageMagick render PNG ก่อน deploy เพื่อหลีกเลี่ยงปัญหา font rendering ใน SVG context",2.1.5,1,2026-03-22T00:00:00.000Z,system
3,chajai003,version_update,อัพเดท v2.1.4,อัพเดท v2.1.4,แก้ไขไอคอน Browser Tab แสดงแค่ตัว 'C' — เปลี่ยน favicon จาก SVG เป็น PNG • SVG favicon ไม่รองรับ Google Fonts — ใช้ favicon.png แทนเพื่อแสดงโลโก้ CBH ถูกต้อง,แก้ไขไอคอน Browser Tab แสดงแค่ตัว 'C' — เปลี่ยน favicon จาก SVG เป็น PNG • SVG favicon ไม่รองรับ Google Fonts — ใช้ favicon.png แทนเพื่อแสดงโลโก้ CBH ถูกต้อง,2.1.4,1,2026-03-22T00:00:00.000Z,system
12,chajai003,version_update,อัพเดท v2.0.3,อัพเดท v2.0.3,Weekly Sales: Unaccounted Top 3 ดึงรายการจากระบบยืมคืน (Borrow Items) แทนการใช้ BK-CR categories,Weekly Sales: Unaccounted Top 3 ดึงรายการจากระบบยืมคืน (Borrow Items) แทนการใช้ BK-CR categories,2.0.3,1,2026-03-02T00:00:00.000Z,system
25,chajai003,version_update,อัพเดท v1.4.0,อัพเดท v1.4.0,เพิ่มระบบ Reset Password ผ่าน OTP ทาง Email • ใช้ Resend สำหรับส่ง OTP Email (+1 รายการ),เพิ่มระบบ Reset Password ผ่าน OTP ทาง Email • ใช้ Resend สำหรับส่ง OTP Email (+1 รายการ),1.4.0,1,2026-01-16T00:00:00.000Z,system
26,chajai003,version_update,อัพเดท v1.3.0,อัพเดท v1.3.0,เพิ่มระบบ Staff Chat แบบ Real-time ด้วย Socket.IO • เพิ่ม Floating Chat Widget ใช้งานได้ทุกหน้า (+1 รายการ),เพิ่มระบบ Staff Chat แบบ Real-time ด้วย Socket.IO • เพิ่ม Floating Chat Widget ใช้งานได้ทุกหน้า (+1 รายการ),1.3.0,1,2026-01-16T00:00:00.000Z,system
27,chajai003,version_update,อัพเดท v1.2.0,อัพเดท v1.2.0,เพิ่มระบบ Borrow Tracker สำหรับยืม-คืนอุปกรณ์ระหว่างสาขา • รองรับ Import Excel/CSV สำหรับ Branches และ Items (+1 รายการ),เพิ่มระบบ Borrow Tracker สำหรับยืม-คืนอุปกรณ์ระหว่างสาขา • รองรับ Import Excel/CSV สำหรับ Branches และ Items (+1 รายการ),1.2.0,1,2026-01-16T00:00:00.000Z,system
28,chajai003,version_update,อัพเดท v1.1.0,อัพเดท v1.1.0,เพิ่มระบบ Labor Cost Management • เพิ่มหน้า Daily Sales Report (+1 รายการ),เพิ่มระบบ Labor Cost Management • เพิ่มหน้า Daily Sales Report (+1 รายการ),1.1.0,1,2026-01-15T00:00:00.000Z,system
4,chajai003,version_update,อัพเดท v2.1.3,อัพเดท v2.1.3,Rebranding: เปลี่ยน app identity เป็น CBH (Chann Back House) เต็มรูปแบบ • โลโก้ใหม่: Data House icon (หลังคา + 3 bars + CBH text) gradient เขียวเข้ม #021008→#10b981 (+1 รายการ),Rebranding: เปลี่ยน app identity เป็น CBH (Chann Back House) เต็มรูปแบบ • โลโก้ใหม่: Data House icon (หลังคา + 3 bars + CBH text) gradient เขียวเข้ม #021008→#10b981 (+1 รายการ),2.1.3,1,2026-03-22T00:00:00.000Z,system
5,chajai003,version_update,อัพเดท v2.1.2,อัพเดท v2.1.2,Chann AI: อัพเกรดใช้ Claude (claude-sonnet-4-5) เป็น AI หลัก — ทั้ง tool calling และ streaming • Chann AI: เพิ่ม Model Selector — เลือก Claude / GPT-4o / Gemini ได้จาก UI (+4 รายการ),Chann AI: อัพเกรดใช้ Claude (claude-sonnet-4-5) เป็น AI หลัก — ทั้ง tool calling และ streaming • Chann AI: เพิ่ม Model Selector — เลือก Claude / GPT-4o / Gemini ได้จาก UI (+4 รายการ),2.1.2,1,2026-03-15T00:00:00.000Z,system
